name;inventoryNumber;manufacturer;articleType;description;inspectionInterval;value;serialNumber;din;specification;manufacturingDate;warehouse;deviceClass;deviceSubclass;designationLB;commissionedDate;decommissionedDate;communityInventoryNumber;mpFeuerInventoryNumber;retirementPeriodMonths;pruefgrundsaetze
Standrohr 2-B;120001;AWG;;;12;;;;AWG Standrohr DN80/DN50;2017-01-01;LF-8/6-TH;Schläuche, Armaturen und Zubehör;Wasserführende Armaturen;LB12;2017-01-01;;020472;;;DGUV 305-002
Belüftungsgerät;120002;Hale;;;12;;20404;;HALE Typhoon;;LF-8/6-TH;Sondergerät;Elektrische Geräte;LB12;unbekannt;;013192;;;DGUV 49
Blitzleuchte;120003;Horizont Signal;;;12;;167646;;LK-Blitz-Stableucht E1-2;;LF-8/6-TH;Beleuchtungs-, Signal- und Fernmeldegerät;Signal- & Beleuchtungsgeräte;LB12;;;013193;;;DGUV 3, DGUV 4
Blitzleuchte;120004;Horizont Signal;;;12;;520886;;LK-LED-Stableuchte E1;2019-01-01;LF-8/6-TH;Beleuchtungs-, Signal- und Fernmeldegerät;Signal- & Beleuchtungsgeräte;LB12;2019-01-01;;020857;;;DGUV 3, DGUV 4
Blitzleuchte;120005;Horizont Signal;;;12;;167620;;LK-Blitz-Stableucht E1-2;;LF-8/6-TH;Beleuchtungs-, Signal- und Fernmeldegerät;Signal- & Beleuchtungsgeräte;LB12;unbekannt;;013194;;;DGUV 3, DGUV 4
Blitzleuchte;120006;Horizont Signal;;;12;;429646;;LK-LED-Stableuchte E1;2019-01-01;LF-8/6-TH;Beleuchtungs-, Signal- und Fernmeldegerät;Signal- & Beleuchtungsgeräte;LB12;2019-01-01;;;;;DGUV 3, DGUV 4
Schleifkorbtrage;120007;Spencer;;;12;;2132913001;;Twin Shell;2021-09-01;LF-8/6-TH;Sanitäts- und Wiederbelebungsgerät;Sanitäts- & Wiederbelebungsgeräte;LB12;2021-01-01;;;;120;Hersteller, DGUV
Hohlstrahlrohr C2235;120008;AWG;;;12;;;;Turbo-Spritze C2235;2019-10-01;LF-8/6-TH;Schläuche, Armaturen und Zubehör;Wasserführende Armaturen;LB12;2019-01-01;;021035;;;DGUV 305-002
Hohlstrahlrohr C2235;120009;AWG;;;12;;;;Turbo-Spritze C2235;2021-09-01;LF-8/6-TH;Schläuche, Armaturen und Zubehör;Wasserführende Armaturen;LB12;2021-01-01;;;;;DGUV 305-002
Hohlstrahlrohr C2235;120010;AWG;;;12;;;;Turbo-Spritze C2235;2020-05-01;LF-8/6-TH;Schläuche, Armaturen und Zubehör;Wasserführende Armaturen;LB12;2020-01-01;;;;;DGUV 305-002
BMM-Mehrzweckstrahlrohr;120011;AWG;;;12;;;;Mehrzweckstrahlrohr BM;;LF-8/6-TH;Schläuche, Armaturen und Zubehör;Wasserführende Armaturen;LB12;;;013217;;;DGUV 305-002
D-Mehrzweckstrahlrohr;120012;AWG;;;12;;;;Mehrzweckstrahlrohr DM;;LF-8/6-TH;Schläuche, Armaturen und Zubehör;Wasserführende Armaturen;LB12;;;;;;DGUV 305-002
Hwerkzeugkoffer;120013;PARAT;;;12;;;;;;LF-8/6-TH;Handwerkzeug und Messgerät;;LB12;;;;;;DGUV 305-002
Tauchpumpe TP 4/1;120014;MAST;;;12;;43312;;TP 4-1;;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;1999-01-01;;013214;;;DGUV 3, DGUV 4, 203-049
Personenschutzschalter;120015;Kopp;;;12;;;;PRCD-S;;LF-8/6-TH;Beleuchtungs-, Signal- und Fernmeldegerät;Signal- & Beleuchtungsgeräte;LB12;;;;;;DGUV 3, DGUV 4, 203-049
Aldebaran Großflächenleuchte;120016;Setolite;;;12;;;;Aldebaran 360° Flex-C LED 600 Compact 2.0;;LF-8/6-TH;Beleuchtungs-, Signal- und Fernmeldegerät;Signal- & Beleuchtungsgeräte;LB12;45170;;021408;;;DGUV 3, DGUV 4, 203-049
Motorkettensäge;120017;Stihl;;;12;;;;Stihl 044;1999-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2000-01-01;;013202;;;DGUV 305-002
Forstarbeiterhelm;120018;Voss;;;12;;;;Forstarbeiterhelm;2022-03-01;LF-8/6-TH;Schutzkleidung und Schutzgerät;Helme;LB12;2022-01-01;;;;60;DGUV 305-002
Forstarbeiterhelm;120019;Stihl;;;12;;;;Forstarbeiterhelm;2021-10-01;LF-8/6-TH;Schutzkleidung und Schutzgerät;Helme;LB12;2021-01-01;;;;60;DGUV 305-002
Schnittschutzhose;120020;Stihl;;;12;;09/0088 508 0001;;Stihl Protect MS 360°;2019-12-01;LF-8/6-TH;Schutzkleidung und Schutzgerät;Schutzkleidung TH;LB12;2020-01-01;;;;120;DGUV 305-002, Herstellerangaben
Stativ;120021;Dönges;;;12;;;;Teleskopstativ mit Dreibein;;LF-8/6-TH;Beleuchtungs-, Signal- und Fernmeldegerät;Signal- & Beleuchtungsgeräte;LB12;2023-01-01;;;;;DGUV 305-002, Herstellerangaben
StabFast Stütze;120022;Weber Rescue;;;4;;2018110001;;StabFast ALU;2018-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;;;;;;DGUV 305-002, Herstellerangaben
StabFast Stütze;120023;Weber Rescue;;;4;;2021010001;;StabFast ALU;2021-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;;;;;;DGUV 305-002, Herstellerangaben
StabFast Stütze;120024;Weber Rescue;;;4;;2018110001;;StabFast ALU;2018-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;;;;;;DGUV 305-002, Herstellerangaben
StabFast Stütze;120025;Weber Rescue;;;4;;2021010001;;StabFast ALU;2021-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;;;;;;DGUV 305-002, Herstellerangaben
Feuerlöscher ABC P12;120026;Jockel;;;24;;;;Feuerlöscher 12kg ABC Pulver;2013-01-01;LF-8/6-TH;Löschgerät;Tragbare Feuerlöscher;LB12;;;018702;;;DGUV 1
Feuerlöscher CO2;120027;Harz;;;24;;;;Feuerlöscher Kohlendioxid;2019-03-01;LF-8/6-TH;Löschgerät;Tragbare Feuerlöscher;LB12;2019-01-01;;;;;DGUV 1
Zumischer Z4B;120028;AWG;;;12;;;;Zumischer Z4R-DIN14384;1999-01-01;LF-8/6-TH;Schläuche, Armaturen und Zubehör;Wasserführende Armaturen;LB12;2000-01-01;;013203;;;DGUV 305-002
DELTA Box 230 Volt;120029;Mennekes;;;12;;;;10866;;LF-8/6-TH;Beleuchtungs-, Signal- und Fernmeldegerät;Signal- & Beleuchtungsgeräte;LB12;;;;;;DGUV 3, DGUV 4, 203-049
Personenschutzschalter;120030;Kopp;;;12;;;;PRCD-S;;LF-8/6-TH;Beleuchtungs-, Signal- und Fernmeldegerät;Signal- & Beleuchtungsgeräte;LB12;;;;;;DGUV 3, DGUV 4, 203-049
Leitungsroller 230V;120031;Bosch;;;12;;7791021119;;KSA 20;;LF-8/6-TH;Beleuchtungs-, Signal- und Fernmeldegerät;Signal- & Beleuchtungsgeräte;LB12;2000-01-01;;013215;;;DGUV 3, DGUV 4, 203-049
Stromerzeuger 5,5kVA;120032;Knurz;;;12;;20144;;DE+E 5,5 BVF;1999-10-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2000-01-01;;013198;;;DGUV 3, DGUV 4, 203-049
Rundschlinge 6t;120033;Sitex GmbH;;;12;;104043-00001;;SF7;2022-04-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2022-01-01;;;;120;DGUV 305-002
Rundschlinge 3t;120034;Dolezych;;;12;;DD119860760020182;;WLL 3000kg;2021-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2021-01-01;;;;120;DGUV 305-002
Rundschlinge 3t;120035;Dolezych;;;12;;DD119860760020183;;WLL 3000kg;2021-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2021-01-01;;;;120;DGUV 305-002
Rundschlinge 2,2t;120036;Ellipse;;;12;;09998S;;PPLSAC20;2022-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2022-01-01;;;;120;DGUV 305-002
Rundschlinge 2,2t;120037;Ellipse;;;12;;09998S144;;PPLSAC20;2022-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2022-01-01;;;;120;DGUV 305-002
Spanngurt ohne Ratsche;120038;Dolezych;;;12;;;;Spanngurt 2,5t;2021-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2021-01-01;;;;120;DGUV 305-002
Ratsche für Spanngurt;120039;Dolezych;;;12;;;;Ratsche für Spanngurt 2,5t;2021-01-01;LF-8/6-TH;Arbeitsgerät;Geräte & Werkzeuge;LB12;2021-01-01;;;;120;DGUV 305-002
